musical_instruments,"[0.04165705 0.04166628 0.04166547 0.04167242 0.04166584 0.04167084
 0.04167295 0.04166717 0.04166091 0.0416682  0.04166893 0.04166615
 0.04166877 0.04164871 0.04166967 0.041666   0.04166216 0.04166995
 0.04167106 0.04166832 0.04167284 0.04167253 0.04166915 0.04165864]"
beauty,"[0.04161028 0.04161771 0.04168635 0.0416845  0.04170226 0.04167476
 0.04170584 0.04166822 0.04170162 0.04169444 0.04169099 0.04168968
 0.04152828 0.04169161 0.04167395 0.04167864 0.04156903 0.04164068
 0.04168003 0.04169798 0.04169055 0.04167851 0.04169297 0.04165106]"
tools_&_hardware,"[0.04164585 0.04166396 0.04167842 0.04167544 0.04167224 0.04168107
 0.04167636 0.04166988 0.04166169 0.04167804 0.04167756 0.04166624
 0.0416878  0.04157214 0.04168483 0.04166662 0.04166413 0.04161844
 0.04166919 0.04168793 0.04168492 0.04168683 0.04167552 0.04165489]"
apparel,"[0.04166174 0.04166628 0.04168141 0.04166612 0.0416586  0.04168139
 0.04166915 0.04165934 0.04167547 0.04166948 0.04165839 0.04166469
 0.04162647 0.041678   0.04166365 0.04168333 0.04164381 0.04166481
 0.0416817  0.04167881 0.04166969 0.04167496 0.04167113 0.04165154]"
software,"[0.04165587 0.04166545 0.04167069 0.04167219 0.04167045 0.04167079
 0.0416726  0.04167003 0.04166401 0.04167123 0.04166767 0.04166733
 0.04166763 0.04164411 0.04166874 0.0416654  0.0416697  0.04165447
 0.04166699 0.04167067 0.04167019 0.04166926 0.04167071 0.04166385]"
gourmet_food,"[0.04162125 0.04165595 0.04170195 0.04169873 0.0416887  0.04169613
 0.04167992 0.04168697 0.04167168 0.04170142 0.04169684 0.04168853
 0.04147018 0.04168629 0.04168231 0.04168727 0.041561   0.04164363
 0.0416692  0.04168395 0.04169564 0.04166425 0.04169412 0.04167411]"
electronics,"[0.04161844 0.04168605 0.04172941 0.04174296 0.04170805 0.04172983
 0.04173043 0.04173884 0.04165838 0.04169324 0.04166064 0.04173168
 0.04125601 0.04177804 0.04166322 0.04165676 0.04145019 0.04165759
 0.04166304 0.04168687 0.04167777 0.04172603 0.04174012 0.04161646]"
kitchen_&_housewares,"[0.04168813 0.04165364 0.04168376 0.0416783  0.04172388 0.04173872
 0.0417123  0.04169103 0.04166621 0.04169938 0.04168435 0.04167013
 0.04172033 0.04136594 0.04166125 0.04169435 0.04149975 0.04165913
 0.04172112 0.04167967 0.04169984 0.04168142 0.04169037 0.041637  ]"
magazines,"[0.04162673 0.04163541 0.04169321 0.04168198 0.04168125 0.04168848
 0.04166171 0.04169767 0.04169263 0.04169258 0.04169678 0.04168634
 0.04169786 0.04150746 0.04167877 0.04169197 0.04160365 0.0416206
 0.04166432 0.04168347 0.04167794 0.04166253 0.04170012 0.04167653]"
office_products,"[0.04164621 0.04168139 0.04166827 0.04170607 0.0416525  0.04168568
 0.04170241 0.04168014 0.0416472  0.04167663 0.04166833 0.04164853
 0.04168198 0.04153024 0.04170636 0.04165217 0.0417049  0.04152807
 0.04171348 0.04171134 0.04169023 0.04169047 0.04171596 0.04161146]"
sports_&_outdoors,"[0.04166706 0.04166716 0.04166709 0.04166897 0.04166787 0.04166637
 0.04166849 0.04166689 0.04166576 0.04166742 0.04166579 0.04166561
 0.041668   0.04165942 0.04166838 0.04166599 0.04166668 0.04166433
 0.04166595 0.04166787 0.04166766 0.04166886 0.04166749 0.04166491]"
